V,E,C,genus,B,largest
2040,2823,75,858,5820,1932
2032,2816,62,846,5778,1924
2065,2898,54,887,5793,1976
2029,2799,62,832,5815,1917
2068,2909,73,914,5824,1984
2084,2991,49,956,5707,2015
2087,2978,47,938,5775,2022
2070,2951,46,927,5714,2018
2057,2956,50,949,5652,1994
2008,2782,69,843,5746,1899
2109,3066,43,1000,5728,2046
2096,3003,48,955,5792,2036
2060,2919,56,915,5730,1991
2046,2889,58,901,5733,1957
2008,2745,58,795,5808,1911
2034,2833,62,861,5777,1948
2033,2777,59,803,5853,1931
2029,2799,62,832,5823,1945
2022,2853,69,900,5648,1924
1986,2724,63,801,5720,1873
2028,2842,62,876,5723,1942
2067,2909,65,907,5822,1968
2021,2766,61,806,5860,1930
2021,2788,67,834,5799,1900
2041,2836,47,842,5803,1976
2084,2936,79,931,5837,1976
2022,2756,52,786,5851,1958
2059,2925,53,919,5763,1981
2033,2864,51,882,5679,1962
1984,2683,70,769,5795,1887
2038,2864,65,891,5741,1939
2020,2810,64,854,5758,1925
2065,2926,57,918,5777,1980
2066,2938,59,931,5752,1996
2065,2913,57,905,5790,1987
2061,2936,50,925,5719,1982
2117,3052,58,993,5803,2036
2038,2835,61,858,5815,1957
2054,2873,69,888,5819,1965
2047,2898,55,906,5713,1947
2028,2803,54,829,5783,1916
2074,2929,42,897,5791,2013
2098,3049,62,1013,5720,2018
2080,2929,60,909,5839,2001
2042,2896,59,913,5714,1946
2059,2934,66,941,5724,1958
2046,2873,57,884,5758,1969
1980,2612,77,709,5884,1862
2013,2774,60,821,5798,1925
2098,3039,50,991,5706,2029
2066,2962,43,939,5704,1997
2062,2940,58,936,5736,1990
2067,2872,55,860,5867,1988
2056,2917,54,915,5747,1984
2073,3031,48,1006,5602,1979
2089,3014,47,972,5728,2023
2032,2792,59,819,5847,1937
2092,3023,52,983,5722,2032
2038,2833,56,851,5784,1960
2085,2991,52,958,5754,2013
2021,2779,73,831,5798,1927
2050,2894,71,915,5750,1952
2057,2836,54,833,5868,1978
2082,3025,55,998,5678,1993
2091,3013,41,963,5736,2039
2061,2916,46,901,5729,1997
2000,2745,72,817,5724,1895
2052,2875,57,880,5798,1952
2053,2922,63,932,5688,1945
2062,2909,42,889,5753,2015
2049,2887,58,896,5779,1961
2038,2910,56,928,5673,1976
2058,2876,60,878,5834,1980
2030,2827,69,866,5742,1942
2027,2850,52,875,5710,1944
2039,2837,59,857,5736,1961
2079,2967,62,950,5763,1982
2053,2897,66,910,5765,1960
2034,2852,55,873,5710,1954
2011,2775,51,815,5769,1941
2091,2977,59,945,5801,2016
2073,2916,54,897,5785,2008
2008,2786,69,847,5747,1919
2009,2749,78,818,5797,1879
2000,2758,68,826,5729,1923
2034,2807,60,833,5824,1954
2012,2791,59,838,5732,1941
2017,2754,57,794,5809,1946
2076,2908,49,881,5836,2017
2085,2985,51,951,5766,2023
2012,2774,73,835,5754,1913
2058,2894,59,895,5782,1980
2021,2725,74,778,5905,1916
2058,2961,47,950,5672,1995
2028,2793,54,819,5808,1955
2030,2842,58,870,5737,1966
2062,2898,53,889,5794,1989
2094,2964,57,927,5840,2026
2000,2770,69,839,5724,1900
1996,2693,73,770,5812,1898
2086,2983,57,954,5767,1991
2037,2831,60,854,5767,1960
2056,2937,63,944,5668,1964
2088,2968,55,935,5818,2017
1963,2676,58,771,5683,1858
2019,2794,71,846,5773,1895
2014,2784,57,827,5788,1943
2043,2891,61,909,5740,1961
2033,2798,65,830,5840,1943
2041,2893,55,907,5703,1976
2075,2936,59,920,5795,2011
2014,2773,65,824,5745,1933
2059,2912,59,912,5773,1977
2003,2803,67,867,5649,1923
2050,2826,68,844,5886,1957
2063,2967,55,959,5658,1987
2085,2989,53,957,5761,2019
2053,2898,57,902,5733,1973
2076,2970,59,953,5747,1994
2034,2823,57,846,5798,1956
2026,2828,52,854,5728,1933
2028,2859,59,890,5713,1939
2134,3131,57,1054,5770,2065
2042,2869,52,879,5750,1977
2027,2819,64,856,5760,1938
2056,2920,60,924,5741,1984
2065,2931,61,927,5743,1991
2076,2923,59,906,5793,1991
1955,2656,77,778,5682,1824
2071,2967,50,946,5741,1995
1997,2734,69,806,5777,1892
2067,2959,54,946,5692,1988
2032,2808,52,828,5788,1939
2057,2948,59,950,5690,1967
2091,2960,59,928,5838,2019
2014,2777,68,831,5782,1911
2059,2924,47,912,5728,1985
2089,3007,54,972,5720,2026
2071,2954,60,943,5755,1989
2005,2815,45,855,5642,1949
2017,2763,54,800,5790,1952
2031,2827,62,858,5748,1942
2024,2728,70,774,5880,1926
2004,2818,59,873,5643,1921
2001,2778,66,843,5677,1893
2073,2968,42,937,5718,2027
1998,2721,61,784,5783,1898
1948,2632,77,761,5725,1852
2022,2795,74,847,5805,1932
2014,2774,72,832,5799,1925
2028,2835,62,869,5754,1943
2016,2781,44,809,5757,1956
2002,2751,50,799,5753,1932
2078,2948,55,925,5768,2004
2013,2805,64,856,5721,1896
2083,2988,51,956,5715,2022
2055,2975,54,974,5609,1983
2084,2975,43,934,5783,2021
2034,2854,58,878,5718,1941
2000,2746,62,808,5756,1902
1961,2581,71,691,5834,1868
2040,2918,50,928,5653,1970
2067,2980,58,971,5675,1993
2067,2913,43,889,5800,2000
2063,2883,63,883,5837,1988
2053,2876,64,887,5792,1970
1984,2718,76,810,5697,1871
2049,2858,63,872,5806,1961
2116,3087,42,1013,5770,2068
2053,2917,56,920,5757,1972
2012,2754,59,801,5800,1930
1979,2690,74,785,5740,1876
2031,2839,63,871,5766,1936
2035,2876,66,907,5745,1899
2029,2830,60,861,5779,1953
2052,2885,56,889,5802,1978
2035,2837,60,862,5767,1953
2018,2780,54,816,5790,1947
2051,2882,57,888,5779,1968
2002,2743,70,811,5790,1881
1975,2646,85,756,5812,1833
1997,2709,71,783,5806,1887
2054,2922,64,932,5726,1970
2085,2992,65,972,5757,1973
2065,2894,47,876,5808,1995
2030,2815,76,861,5780,1919
2022,2857,65,900,5680,1939
2059,2877,64,882,5812,1960
2083,2987,62,966,5762,2001
2080,3008,41,969,5666,2026
2041,2894,65,918,5717,1959
2061,2916,51,906,5786,1978
2125,3075,50,1000,5824,2049
2063,2942,54,933,5706,1987
2011,2788,57,834,5752,1927
1999,2787,64,852,5697,1898
2086,2975,49,938,5792,2022
2063,2923,51,911,5745,2001
1974,2679,61,766,5783,1884
2098,3009,49,960,5758,2028
2039,2818,62,841,5834,1935
2068,2907,50,889,5826,1985
2079,2995,60,976,5713,1985
2087,2961,56,930,5826,2011
2069,2864,58,853,5860,1974
2038,2907,51,920,5684,1969
2046,2878,52,884,5768,1950
2065,2946,53,934,5735,1986
2021,2776,54,809,5834,1931
2067,2925,47,905,5758,1993
2028,2823,52,847,5757,1934
2045,2856,56,867,5785,1974
2018,2808,62,852,5747,1932
2011,2782,62,833,5783,1923
2069,2973,54,958,5678,2010
2036,2842,61,867,5752,1961
2053,2852,64,863,5815,1953
2000,2732,59,791,5789,1914
2013,2737,73,797,5875,1882
2069,2929,65,925,5788,1971
2106,3068,31,993,5705,2064
2049,2869,57,877,5795,1964
2089,2977,45,933,5797,2005
2095,3012,51,968,5751,2014
2005,2752,63,810,5769,1922
2020,2834,57,871,5697,1951
2071,2928,54,911,5816,1992
2011,2791,49,829,5720,1913
2067,2926,57,916,5771,1978
2036,2831,54,849,5775,1973
2036,2787,70,821,5872,1930
2075,3004,58,987,5719,1992
2021,2849,65,893,5672,1941
2052,2919,50,917,5710,1996
2038,2846,59,867,5775,1969
2013,2784,76,847,5781,1856
2098,3007,55,964,5779,2034
2074,2966,55,947,5717,2010
2043,2892,59,908,5703,1961
2077,2995,39,957,5709,2024
2048,2841,61,854,5814,1957
1987,2682,78,773,5819,1859
2035,2880,50,895,5704,1969
1993,2763,59,829,5676,1901
2051,2899,64,912,5764,1967
2061,2931,49,919,5732,1987
2045,2849,63,867,5792,1954
2080,2970,62,952,5774,2012
2059,2895,60,896,5784,1990
2073,2935,52,914,5793,2004
2028,2787,73,832,5818,1932
2046,2887,58,899,5738,1977
2077,3022,48,993,5630,2015
2014,2788,58,832,5735,1949
2055,2884,62,891,5806,1974
2020,2789,65,834,5837,1932
2079,2930,49,900,5813,2016
2115,3070,55,1010,5757,2045
2092,3005,48,961,5765,2020
2074,2979,27,932,5694,2035
2017,2781,65,829,5796,1934
2029,2787,57,815,5794,1942
2012,2785,61,834,5729,1924
2062,2934,57,929,5754,1976
2067,2963,50,946,5693,2009
2023,2794,42,813,5767,1968
2058,2908,49,899,5761,1984
2052,2882,53,883,5733,1961
2055,2903,58,906,5763,1976
2053,2900,52,899,5763,1962
2068,2961,60,953,5743,1984
2060,2943,65,948,5735,1976
2039,2827,57,845,5785,1974
2020,2778,71,829,5802,1908
2025,2895,50,920,5616,1954
1983,2687,59,763,5765,1881
2028,2765,54,791,5878,1953
2041,2829,54,842,5820,1962
2047,2866,55,874,5783,1986
1999,2710,74,785,5821,1899
2046,2889,63,906,5735,1939
2005,2729,68,792,5796,1909
2077,2967,62,952,5724,1995
2053,2861,56,864,5806,1969
2010,2791,72,853,5738,1904
1973,2653,68,748,5758,1876
2105,3065,46,1006,5716,2050
2071,2977,59,965,5705,1985
2070,2905,54,889,5829,2005
2008,2750,66,808,5781,1922
2039,2841,56,858,5777,1959
2087,2952,47,912,5826,2016
2090,3001,49,960,5737,2023
2030,2813,61,844,5773,1953
2060,2959,50,949,5666,1997
2061,2930,62,931,5710,1983
2020,2797,55,832,5752,1955
2000,2713,62,775,5810,1909
2020,2781,56,817,5809,1936
2084,2958,46,920,5804,2028
2112,3096,48,1032,5683,2058
2037,2794,67,824,5821,1952
2108,3062,64,1018,5771,2019
2066,2927,55,916,5756,1976
2060,2927,55,922,5756,1998
2079,2963,65,949,5809,1985
2091,2966,45,920,5829,2037
2062,2903,42,883,5783,1993
2041,2860,77,896,5774,1935
1985,2711,67,793,5732,1873
2005,2771,65,831,5736,1909
2012,2770,68,826,5779,1933
2013,2734,69,790,5850,1875
2080,2982,42,944,5701,2013
2074,2979,56,961,5731,2005
2021,2779,80,838,5792,1918
2067,2933,51,917,5731,1997
2100,3040,64,1004,5742,2018
2064,2966,43,945,5653,2000
2023,2816,72,865,5727,1933
2026,2845,56,875,5713,1939
2068,2948,57,937,5768,1997
2031,2831,63,863,5766,1938
1999,2713,73,787,5807,1889
2023,2800,66,843,5783,1932
2053,2909,51,907,5717,1972
2081,2976,54,949,5770,2010
2031,2871,60,900,5682,1954
1986,2706,56,776,5726,1903
2061,2917,67,923,5769,1971
