V,E,B,lb
2054,2891,5765,838
2037,2864,5750,828
1998,2736,5778,739
2011,2736,5822,726
2118,3099,5750,982
2078,2964,5752,887
2059,2923,5744,865
2066,2927,5768,862
2105,3044,5767,940
2065,2936,5772,872
2046,2857,5789,812
2025,2814,5760,790
2013,2772,5777,760
2025,2828,5737,804
2037,2862,5763,826
2050,2857,5793,808
2081,2921,5839,841
2083,2968,5785,886
2078,2959,5785,882
2022,2838,5688,817
2077,3009,5679,933
2068,2895,5868,828
2035,2880,5684,846
2023,2823,5718,801
2091,3025,5698,935
2046,2819,5846,774
2023,2838,5710,816
2058,2963,5681,906
2085,2980,5751,896
2036,2876,5685,841
2056,2881,5790,826
2003,2748,5730,746
2079,2985,5718,907
2046,2894,5727,849
2008,2777,5738,770
2073,2974,5756,902
1974,2689,5724,716
2060,2951,5709,892
2063,2922,5769,860
2075,2981,5750,907
2068,2919,5787,852
2006,2763,5777,758
2006,2823,5663,818
2023,2816,5761,794
2090,2994,5760,905
2043,2893,5732,851
2005,2751,5765,747
2016,2836,5689,821
2097,2991,5828,895
2067,2946,5752,880
2021,2843,5718,823
2059,2853,5830,795
2003,2736,5785,734
2102,3044,5715,943
2087,2963,5792,877
2014,2827,5644,814
2097,3018,5744,922
2055,2925,5667,871
2037,2874,5702,838
2032,2861,5731,830
2020,2762,5817,743
2053,2858,5799,806
2036,2852,5759,817
2038,2837,5767,800
2049,2886,5745,838
2055,2860,5829,806
2118,3028,5850,911
2079,2932,5831,854
2023,2791,5760,769
2053,2962,5607,910
2055,2874,5859,820
2016,2812,5725,797
2080,2970,5779,891
2063,2950,5723,888
2087,2974,5805,888
2021,2798,5788,778
2093,2971,5810,879
2081,2964,5755,884
2054,2885,5781,832
2158,3212,5730,1055
2038,2873,5729,836
2028,2788,5827,761
2047,2879,5773,833
2036,2854,5705,819
2034,2813,5844,780
1998,2769,5728,772
2040,2813,5865,774
2055,2925,5716,871
2057,2940,5702,884
2043,2808,5846,766
2012,2772,5773,761
2059,2901,5781,843
2096,2991,5798,896
2054,2906,5750,853
2005,2762,5763,758
1981,2625,5882,645
2009,2785,5740,777
2028,2839,5739,812
2043,2878,5753,836
2040,2828,5814,789
2059,2899,5807,841
2161,3205,5734,1045
2082,2945,5826,864
2023,2788,5799,766
2020,2783,5786,764
2054,2936,5703,883
2002,2762,5745,761
2100,3052,5717,953
2043,2870,5747,828
2045,2865,5804,821
2085,2966,5812,882
2045,2898,5692,854
2007,2747,5827,741
2045,2883,5752,839
2028,2774,5814,747
2062,2917,5731,856
2075,3009,5667,935
2008,2762,5750,755
2020,2771,5835,752
2059,2909,5752,851
2025,2829,5742,805
2049,2835,5842,787
2073,2964,5719,892
2051,2894,5753,844
2019,2767,5809,749
2018,2783,5802,766
2082,3007,5703,926
2073,2900,5831,828
2042,2829,5839,788
2010,2828,5638,819
2065,2920,5774,856
2034,2842,5785,809
2046,2888,5759,843
2057,2909,5760,853
2009,2755,5800,747
2019,2816,5704,798
2048,2967,5600,920
2072,2964,5710,893
2059,2944,5720,886
2048,2825,5858,778
2018,2781,5795,764
2082,2933,5822,852
2039,2819,5817,781
2087,2982,5792,896
2064,2930,5748,867
2080,2982,5688,903
2050,2878,5775,829
2009,2816,5667,808
2101,3114,5596,1014
2027,2847,5714,821
2048,2847,5833,800
2090,3010,5732,921
2053,2918,5705,866
2063,2886,5820,824
2069,2998,5627,930
2109,3066,5724,958
2044,2865,5759,822
2090,2949,5831,860
2078,2972,5738,895
2029,2791,5838,763
2045,2858,5813,814
2059,2888,5806,830
2018,2787,5775,770
2059,2914,5755,856
2040,2859,5759,820
2040,2800,5868,761
2034,2833,5778,800
2052,2930,5704,879
2025,2814,5764,790
2048,2890,5742,843
2012,2755,5791,744
2046,2871,5774,826
2038,2864,5734,827
2030,2843,5737,814
1990,2715,5769,726
2053,2905,5758,853
1962,2635,5771,674
2089,2975,5781,887
2005,2783,5737,779
2007,2730,5818,724
2046,2861,5779,816
2021,2778,5802,758
2068,2908,5821,841
2079,2932,5865,854
2041,2895,5713,855
2117,3050,5821,934
2054,2914,5726,861
2092,2985,5812,894
2051,2925,5703,875
1983,2698,5771,716
2078,2953,5777,876
2092,2996,5787,905
2041,2812,5827,772
2052,2906,5729,855
2013,2760,5822,748
1983,2681,5783,699
2050,2845,5877,796
2024,2837,5758,814
2059,2925,5736,867
2059,2915,5768,857
2053,2886,5786,834
2049,2884,5783,836
1996,2711,5827,716
2075,2964,5716,890
1999,2737,5779,739
2017,2830,5682,814
2018,2754,5807,737
2068,2930,5762,863
2080,3000,5700,921
2029,2897,5618,869
2043,2820,5826,778
2040,2878,5734,839
2078,2917,5830,840
2004,2747,5791,744
2040,2822,5845,783
1999,2779,5682,781
2018,2811,5717,794
1988,2718,5747,731
2019,2773,5799,755
2099,2995,5815,897
2075,2943,5743,869
2046,2878,5765,833
2025,2847,5698,823
2056,2916,5737,861
1981,2719,5706,739
2031,2835,5729,805
2056,2927,5698,872
2067,2888,5829,822
2019,2798,5763,780
2044,2837,5796,794
2018,2830,5686,813
2067,2923,5766,857
2065,2893,5785,829
2029,2799,5793,771
2035,2868,5738,834
2067,2940,5767,874
2026,2848,5709,823
2022,2827,5724,806
2071,2916,5799,846
2024,2821,5771,798
2030,2851,5755,822
2077,2989,5714,913
2008,2740,5807,733
2066,2914,5796,849
2064,2903,5799,840
2051,2918,5689,868
2024,2825,5710,802
2141,3101,5834,961
2068,2961,5716,894
2064,2925,5750,862
2055,2901,5761,847
2046,2857,5769,812
2037,2814,5829,778
2085,2990,5777,906
2075,2981,5737,907
2047,2902,5709,856
2033,2831,5771,799
2041,2818,5847,778
2041,2869,5742,829
2063,2910,5799,848
2117,3063,5784,947
2062,2943,5733,882
2007,2760,5779,754
2040,2839,5794,800
2066,2903,5805,838
2048,2836,5808,789
2060,2906,5788,847
2039,2852,5750,814
2013,2785,5749,773
2012,2794,5751,783
2011,2779,5749,769
2059,2936,5728,878
2058,2864,5841,807
2032,2825,5806,794
2039,2873,5722,835
2058,2883,5792,826
2075,2964,5763,890
2063,2898,5780,836
2046,2862,5774,817
2033,2831,5776,799
2047,2861,5777,815
2053,2875,5770,823
2048,2846,5821,799
2025,2846,5713,822
2074,2954,5765,881
2065,2942,5761,878
2048,2815,5862,768
2093,2982,5770,890
2086,2951,5828,866
2117,3054,5794,938
2001,2784,5694,784
2017,2816,5699,800
2087,3013,5723,927
2049,2842,5832,794
2105,3045,5743,941
2008,2785,5728,778
2068,2894,5857,827
2044,2920,5659,877
2004,2720,5830,717
1991,2693,5777,703
2022,2820,5716,799
2035,2904,5660,870
2026,2809,5766,784
2110,3065,5759,956
2043,2852,5744,810
2096,2982,5818,887
2042,2850,5819,809
2057,2878,5833,822
2051,2877,5796,827
2053,2866,5811,814
2053,2904,5767,852
2051,2935,5665,885
2039,2850,5750,812
2106,3011,5807,906
2081,2996,5723,916
2037,2867,5717,831
2057,2878,5796,822
2113,3095,5720,983
2004,2706,5868,703
2016,2804,5723,789
2018,2781,5784,764
2092,2992,5785,901
2067,2874,5884,808
2125,3160,5662,1036
2033,2826,5787,794
2074,3006,5653,933
2053,2892,5756,840
2109,3022,5841,914
2035,2803,5810,769
2014,2791,5738,778
2077,2919,5795,843
2045,2877,5745,833
2030,2846,5745,817
2025,2809,5768,785
2082,3046,5640,965
2022,2831,5689,810
2024,2781,5834,758
2085,2983,5764,899
2051,2867,5793,817
2084,2941,5853,858
2027,2848,5705,822
2074,2934,5801,861
2031,2844,5737,814
2078,3043,5622,966
2062,2916,5776,855
2070,2968,5730,899
2085,2931,5861,847
2045,2862,5772,818
2044,2882,5746,839
2047,2884,5740,838
2050,2884,5787,835
2028,2857,5705,830
2010,2804,5702,795
